model,mean_eer,std_eer,best_eer,best_epoch,best_seed,runs
cnn2d,0.005492472979927946,0.0,0.005492472979927946,11,0,1
crnn2,0.015005790015440041,0.0,0.015005790015440041,9,0,1
crnn,0.01949305198147195,0.0,0.01949305198147195,3,0,1
cnn1d,0.029006369016984043,0.0,0.029006369016984043,3,0,1
cnn2d_spatial,0.029006369016984043,0.0,0.029006369016984043,9,0,1
