model,seed,best_eer,best_epoch,best_dev_loss
cnn1d,0,0.029006369016984043,3,0.087299395352602
cnn2d,0,0.005492472979927946,11,0.06315938333654776
cnn2d_spatial,0,0.029006369016984043,9,0.12206804251670837
crnn,0,0.01949305198147195,3,0.058450261920690534
crnn2,0,0.015005790015440041,9,0.04272684061527252
