model,seed,epoch,train_loss,dev_loss,dev_eer,is_best
cnn2d,0,1,0.21726766134159906,0.06047126815468073,0.01601100102933608,True
cnn2d,0,2,0.05926438212394714,0.06778387302719056,0.010984945959855892,True
cnn2d,0,3,0.057310405603210844,0.023621180549263956,0.007502895007720021,True
cnn2d,0,4,0.052436721113244336,0.01803113135136664,0.008508106021616058,False
cnn2d,0,5,0.04255072159972042,0.1539507011771202,0.006497683993823984,True
cnn2d,0,6,0.038488781601124046,0.012007798192906193,0.003015633041688111,True
cnn2d,0,7,0.025559110517513806,0.07476283022761344,0.003015633041688111,False
cnn2d,0,8,0.029389623338655968,0.14926467031240465,0.002010422027792074,True
cnn2d,0,9,0.04179305822191652,0.007536805275711231,0.001005211013896037,True
cnn2d,0,10,0.02283224695910238,0.008039199255872518,0.0,True
cnn2d,0,11,0.03680373921903914,0.01230641799303703,0.003015633041688111,False
cnn2d,0,12,0.027313834161327186,0.025358181181916736,0.0,False
cnn2d,0,13,0.0169744301154694,0.02462923485948704,0.001005211013896037,False
cnn2d,0,14,0.016294552458924173,0.017113867804850996,0.001005211013896037,False
cnn2d,0,15,0.02085743415559825,0.0405649208510913,0.001005211013896037,False
cnn2d,0,16,0.015388657947131183,0.008456720284651964,0.002010422027792074,False
cnn2d,0,17,0.020135625609724685,0.004523484934426961,0.001005211013896037,False
cnn2d,0,18,0.009197349553917385,0.003454287233747891,0.001005211013896037,False
cnn2d,0,19,0.010732021801827484,0.005588297880196478,0.002010422027792074,False
cnn2d,0,20,0.010003279534416964,0.01767067592429521,0.0,False
