model,seed,best_eer,best_epoch,best_dev_loss
mlp,0,0.331993051981472,4,0.6128676309585571
stats_mlp,0,0.4829837879567679,1,0.6912751407623291
cnn1d,0,0.029006369016984043,3,0.087299395352602
cnn1d_spatial,0,0.03449884199691199,7,0.11409718072414399
cnn2d,0,0.005492472979927946,11,0.06315938333654776
cnn2d_spatial,0,0.029006369016984043,9,0.12206804251670837
