model,mean_eer,std_eer,best_eer,best_epoch,best_seed,avg_train_loss_upto_best,avg_dev_loss_upto_best,runs
cnn2d,0.003015633041688111,0.0,0.003015633041688111,18,0,0.09432073772809696,0.15750379543202386,1
cnn2d+specaug,0.0034820509521358723,0.0,0.0034820509521358723,18,0,0.10079375516559647,0.5770483168123399,1
cnn2d_robust,0.01199015697375193,0.0,0.01199015697375193,15,0,0.10102721747277038,0.05719027131460607,1
