model,mean_eer,std_eer,best_eer,best_epoch,best_seed,avg_train_loss_upto_best,avg_dev_loss_upto_best,runs
cnn2d,0.005492472979927946,0.0,0.005492472979927946,11,0,0.12272727044216847,0.14899697197189513,1
cnn2d+specaug,0.005492472979927946,0.0,0.005492472979927946,11,0,0.13780632437747,1.5973057823308998,1
cnn2d_robust,0.014000579001544004,0.0,0.014000579001544004,10,0,0.12409376710216916,0.07459721562713384,1
